epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,933.841,1.94698,0.95507,0.77941,0.79821,0.7269,0.77712,0.30945,2.41293,1.2143,0.87452,0.00121591,0.00121591,0.00121591
43,956.066,1.91713,1.00349,0.79727,0.79771,0.79442,0.77493,0.34858,2.25894,1.21414,0.86317,0.00120491,0.00120491,0.00120491
44,978.444,1.86678,0.95563,0.75265,0.8566,0.76112,0.81269,0.38756,2.21742,1.31234,0.8627,0.00119391,0.00119391,0.00119391
45,1001.12,1.8382,0.97896,0.79345,0.91865,0.75866,0.8499,0.40052,2.08567,1.10172,0.85867,0.0011829,0.0011829,0.0011829
46,1023.86,1.89837,0.90707,0.76931,0.81035,0.81068,0.85254,0.3536,2.212,1.2662,0.8659,0.0011719,0.0011719,0.0011719
47,1046.2,1.88213,0.96113,0.79938,0.79491,0.78636,0.80409,0.35424,2.17343,1.22307,0.86134,0.0011609,0.0011609,0.0011609
48,1068.49,1.85561,0.96811,0.81047,0.85554,0.71187,0.83379,0.33799,2.20699,1.29822,0.86719,0.0011499,0.0011499,0.0011499
49,1091.07,1.77267,0.93711,0.75803,0.80503,0.76136,0.82479,0.34251,2.19447,1.27619,0.86528,0.00113889,0.00113889,0.00113889
50,1113.34,1.74828,0.84509,0.78104,0.79543,0.75144,0.76377,0.35301,2.17091,1.26156,0.86591,0.00112789,0.00112789,0.00112789
51,1134.32,1.87278,0.89119,0.78895,0.77316,0.74872,0.7488,0.33704,2.26841,1.35129,0.86877,0.00111689,0.00111689,0.00111689
52,1156.09,1.87216,0.91373,0.77845,0.77094,0.76136,0.73369,0.36632,2.17363,1.32133,0.86124,0.00110589,0.00110589,0.00110589
53,1177.95,1.79058,0.83272,0.78131,0.86306,0.67038,0.75303,0.38828,2.12438,1.2979,0.8596,0.00109489,0.00109489,0.00109489
54,1200.25,1.94868,1.02105,0.82853,0.78362,0.79773,0.80366,0.39486,2.02609,1.24812,0.84606,0.00108388,0.00108388,0.00108388
55,1222.71,1.75254,0.87656,0.78246,0.82089,0.76157,0.79942,0.3622,2.17645,1.29701,0.86113,0.00107288,0.00107288,0.00107288
56,1244.89,1.74179,0.87481,0.73569,0.81204,0.75238,0.77072,0.34791,2.24399,1.31215,0.86413,0.00106188,0.00106188,0.00106188
57,1267.08,1.93011,0.86913,0.79449,0.82294,0.6739,0.75319,0.35265,2.21797,1.26944,0.86886,0.00105088,0.00105088,0.00105088
58,1289.14,1.8136,0.85021,0.75174,0.76885,0.75205,0.73627,0.30548,2.3096,1.30141,0.86511,0.00103987,0.00103987,0.00103987
59,1311.3,1.91462,0.87121,0.82919,0.86471,0.78346,0.79517,0.3508,2.19149,1.18036,0.86101,0.00102887,0.00102887,0.00102887
60,1333.43,1.73392,0.87946,0.75379,0.85034,0.77206,0.81252,0.34333,2.23973,1.21615,0.87414,0.00101787,0.00101787,0.00101787
