candidate_id,class_id,eligible,valid_fold_count,utility_median,utility_mean,utility_std
dwbg_0_12011_10_000000_c14014,0,True,3,-1.0769634708635825,-0.7507510543767838,0.6422275315496861
dwbg_0_12011_11_000002_c12012,0,True,3,-1.108071396869099,-1.0519119715606366,0.49978673402777596
dwbg_0_12011_16_000261,0,True,3,0.03360834102336694,0.029456314571985664,0.2470261000898852
dwbg_0_12011_17_000262,0,True,3,0.09575033033539165,-0.1854440991571348,0.5434799121952658
dwbg_0_12011_25_000268,0,True,3,-1.0153998432027624,-0.9700699002191552,0.43901575143914473
dwbg_0_12011_35_000276,0,True,3,0.09549709779640424,0.10376753649984143,0.13092107199383263
dwbg_0_12011_49_000286,0,True,3,-0.7002674153082297,-0.6085531670762504,0.1793594854359457
dwbg_0_12011_51_000288,0,False,0,,,
dwbg_0_12011_56_000292,0,True,3,-0.77795670812651,-0.40320601442970583,0.5569166282238559
dwbg_0_12011_64_000298,0,False,0,,,
dwbg_0_12011_65_000299,0,False,0,,,
dwbg_0_12011_66_000300,0,True,3,-0.16613374522821794,-0.060796106145762085,0.32550559743447866
dwbg_0_12011_9_000312,0,True,3,-0.11391259729355833,-0.05603414657827031,0.3501046600687131
dwbg_0_15683_26_000350,0,False,0,,,
dwbg_0_15683_67_000383,0,True,3,0.07366872522874131,0.015622152303521286,0.30625212737608265
dwbg_0_19997_10_000001_c17017,0,True,3,0.08668849762857142,0.16012566775494072,0.19288186122305478
dwbg_0_19997_12_000003_c24024,0,False,0,,,
dwbg_0_19997_15_000005_c24024,0,True,3,0.03715286539980803,0.04896000732633559,0.24940839743499682
dwbg_0_19997_29_000000_c19019,0,True,3,0.0011108429762803212,-0.17608189217679646,0.39680436613982123
dwbg_0_19997_2_000425,0,True,3,-0.032424256281536924,-0.1902719422128775,0.5236342231265907
dwbg_0_19997_39_000443,0,True,3,0.08994808572766282,0.06929945173083608,0.23306806635158256
dwbg_0_19997_54_000457,0,True,3,-0.16412977219602534,-0.35656359656237074,0.2804252646207107
dwbg_0_19997_61_000462,0,False,0,,,
dwbg_0_19997_69_000470,0,False,0,,,
dwbg_0_19997_8_000475,0,True,3,0.06408304874029024,0.07654255497488334,0.09953259444764882
dwbg_0_24571_0_000503,0,True,3,-0.037243250797046115,-0.6165439536653105,0.929567471237853
dwbg_0_24571_13_000507,0,False,0,,,
dwbg_0_24571_22_000514,0,False,0,,,
dwbg_0_24571_26_000517,0,True,3,-0.4007379960915284,-0.42136161979785536,0.5746985932004409
dwbg_0_24571_33_000523,0,True,3,-0.4352400227214696,-0.3343329115647565,0.25188433739825067
dwbg_0_24571_58_000543,0,True,3,-0.23917220669541286,-0.1487838128484087,0.37976654792896025
dwbg_0_24571_60_000544,0,True,3,-0.27540319993953327,-0.25386710496315246,0.3883690145946532
dwbg_0_24571_73_000556,0,True,3,-1.03083742663755,-1.1173528709551015,0.8152863842369615
dwbg_0_24571_74_000557,0,True,3,-0.24769802251942385,-0.34258724601361057,0.5850019243904971
dwbg_0_24571_8_000559,0,True,3,-0.02118814727300828,-0.04767107787612649,0.28014974505102247
dwbg_0_30103_0_000001_c2002,0,True,3,-0.9583761627601227,-0.8338496457899685,0.6405758342620221
dwbg_0_30103_11_000588,0,True,3,0.10843229917752129,-0.36284412126874127,0.8576210986518621
dwbg_0_30103_21_000598,0,False,0,,,
dwbg_0_30103_26_000006_c22022,0,False,0,,,
dwbg_0_30103_27_000603,0,True,3,-0.30956556684524605,-0.09183539285425563,0.33064979051893145
dwbg_0_30103_36_000612,0,True,3,-0.09724682091841472,-0.037701137947739244,0.31629853516301154
dwbg_0_30103_54_000628,0,False,0,,,
dwbg_0_30103_60_000634,0,False,0,,,
dwbg_0_30103_67_000641,0,False,0,,,
dwbg_0_30103_9_000650,0,False,0,,,
dwbg_0_3407_17_000091,0,True,3,0.11622484582791785,0.16907383088024822,0.1360866447969196
dwbg_0_3407_26_000100,0,True,3,0.06863362625382731,-0.035698103943648855,0.4057199271034397
dwbg_0_3407_38_000112,0,True,3,-1.4199033002159829,-1.0767102361853238,0.8091058293293824
dwbg_0_3407_46_000118,0,True,3,0.07059669899122757,-0.17832393175393912,0.5011608875842063
dwbg_0_42_13_000003,0,False,0,,,
dwbg_0_42_17_000001_c23023,0,True,3,-1.2522023102126627,-0.8589887557209837,0.9176417109931844
dwbg_0_42_20_000010,0,True,3,-0.9196635167421805,-0.5705652152270693,0.5370184556998256
