instance_id,image,gt_index,fold,class,yolo_iou,yolo_conf,yolo_status,rtdetr_iou,rtdetr_conf,rtdetr_status
fold0:blackinst_1:0,blackinst_1.jpg,0,0,1,0.9202269733726969,0.4211454689502716,success,0.8463782800420407,0.13924148678779602,localized_low_conf
fold0:blackinst_11:0,blackinst_11.jpg,0,0,1,0.8957597944670626,0.7633333802223206,success,0.8510671059901947,0.8226841688156128,success
fold0:blackinst_11:1,blackinst_11.jpg,1,0,1,0.8247256806959206,0.751481831073761,success,0.7988765236270698,0.07742943614721298,localized_low_conf
fold0:blackinst_12:0,blackinst_12.jpg,0,0,1,0.6072521789165507,0.6971949934959412,success,0.8510799058292533,0.10731152445077896,localized_low_conf
fold0:blackinst_12:1,blackinst_12.jpg,1,0,1,0.9140498648169455,0.5187967419624329,success,0.7173692231639781,0.8144780397415161,success
fold0:blackinst_19:0,blackinst_19.jpg,0,0,1,0.8011172617334751,0.6907179951667786,success,0.7911820713617729,0.10394527018070221,localized_low_conf
fold0:blackinst_19:1,blackinst_19.jpg,1,0,1,0.8487493140298074,0.6650431156158447,success,0.6682760111636676,0.09198494255542755,localized_low_conf
fold0:blackinst_20:0,blackinst_20.jpg,0,0,1,0.8008507344456091,0.5974936485290527,success,0.8584103152154674,0.10653335601091385,localized_low_conf
fold0:blackinst_22:0,blackinst_22.jpg,0,0,1,0.9408686230643621,0.6470136046409607,success,0.8453175517353858,0.09709662199020386,localized_low_conf
fold0:blackinst_22:1,blackinst_22.jpg,1,0,1,0.6857374523852369,0.7391645312309265,success,0.9429092939438682,0.1089552566409111,localized_low_conf
fold0:blackinst_26:0,blackinst_26.jpg,0,0,1,0.8651941888716472,0.6977840662002563,success,0.8999878072476079,0.09196735173463821,localized_low_conf
fold0:blackinst_26:1,blackinst_26.jpg,1,0,1,0.9362945240338479,0.698775053024292,success,0.7206514139633228,0.1102750152349472,localized_low_conf
fold0:blackinst_26:2,blackinst_26.jpg,2,0,1,0.86684221529325,0.6979554295539856,success,0.8643612639411772,0.09130451083183289,localized_low_conf
fold0:blackinst_27:0,blackinst_27.jpg,0,0,1,0.9026449133248124,0.5803158283233643,success,0.6575544990704137,0.7450135350227356,success
fold0:blackinst_32:0,blackinst_32.jpg,0,0,1,0.5676014673175754,0.7112200260162354,success,0.7140235354429406,0.09301205724477768,localized_low_conf
fold0:blackinst_32:1,blackinst_32.jpg,1,0,1,0.8624517486607541,0.5855490565299988,success,0.78845042916245,0.8051624298095703,success
fold0:blackinst_9:0,blackinst_9.jpg,0,0,1,0.8146719675082034,0.558797299861908,success,0.872604744284698,0.10831134766340256,localized_low_conf
fold0:blackinst_9:1,blackinst_9.jpg,1,0,1,0.6864880790201394,0.5576514601707458,success,0.8112996309589056,0.1287030726671219,localized_low_conf
fold0:img_1013_pre_part_1:0,img_1013_pre_part_1.jpg,0,0,1,0.0,0.2596376836299896,localization_failure,0.0,0.03132972493767738,localization_failure
fold0:img_1099_pre_part_1:0,img_1099_pre_part_1.jpg,0,0,0,0.8200394874316723,0.5799989700317383,success,0.9359297635162485,0.070523701608181,localized_low_conf
fold0:img_11478_pre_part_1:0,img_11478_pre_part_1.jpg,0,0,0,0.6669597544446721,0.5107536911964417,success,0.7161978762462572,0.7849264740943909,success
fold0:img_1333_pre_part_1:0,img_1333_pre_part_1.jpg,0,0,0,0.8844302275149333,0.6517090797424316,success,0.9396555961926248,0.05943918973207474,localized_low_conf
fold0:img_13734_pre_part_1:0,img_13734_pre_part_1.jpg,0,0,0,0.8681934477630042,0.118224136531353,localized_low_conf,0.8090113393040683,0.8014634251594543,success
fold0:img_15034_pre_part_1:0,img_15034_pre_part_1.jpg,0,0,0,0.9236770380747524,0.026886258274316788,localized_low_conf,0.6157834938776127,0.05575774237513542,localized_low_conf
fold0:img_15545_pre_part_1:0,img_15545_pre_part_1.jpg,0,0,0,0.7140090900373304,0.009607705287635326,localized_low_conf,0.5056996289115642,0.04331618919968605,localized_low_conf
fold0:img_1572_pre_part_1:0,img_1572_pre_part_1.jpg,0,0,0,0.0,0.0011850404553115368,localization_failure,0.7933753165379864,0.059351056814193726,localized_low_conf
fold0:img_15996_pre_part_1:0,img_15996_pre_part_1.jpg,0,0,0,0.769338548243099,0.6167489886283875,success,0.7750466926551599,0.795967161655426,success
fold0:img_16161_pre_part_1:0,img_16161_pre_part_1.jpg,0,0,1,0.7573530327051802,0.5809254050254822,success,0.7683654960838766,0.7428745031356812,success
fold0:img_16442_pre_part_1:0,img_16442_pre_part_1.jpg,0,0,0,0.935321841220476,0.24814079701900482,localized_low_conf,0.7117041663404925,0.03857485204935074,localized_low_conf
fold0:img_1797_pre_part_0:0,img_1797_pre_part_0.jpg,0,0,0,0.6748129030790038,0.46341219544410706,success,0.710794314340224,0.06901519000530243,localized_low_conf
fold0:img_18290_pre_part_0:0,img_18290_pre_part_0.jpg,0,0,0,0.580367290507151,0.005051749292761087,localized_low_conf,0.5723954636612887,0.04251137003302574,localized_low_conf
fold0:img_1944_pre_part_1:0,img_1944_pre_part_1.jpg,0,0,0,0.8257358289239223,0.519784688949585,success,0.9189019592121117,0.795411229133606,success
fold0:img_2028_pre_part_1:0,img_2028_pre_part_1.jpg,0,0,1,0.7019499871487895,0.5045573711395264,success,0.6674583664822601,0.0981857031583786,localized_low_conf
fold0:img_2034_pre_part_0:0,img_2034_pre_part_0.jpg,0,0,0,0.7434691633483079,0.55138099193573,success,0.8078877092510782,0.08548068255186081,localized_low_conf
