candidate_id,class_id,eligible,utility_median,median_confidence,median_iou,manifold_score,seed
dwbg_0_42_0_000000,0,False,,0.0021656465250998735,0.4377124011516571,0.4265921423591357,42
dwbg_0_42_10_000001,0,False,,0.04491734504699707,0.5953080058097839,0.5109863565169797,42
dwbg_0_42_12_000002,0,False,,0.0,0.0,0.18709833327131303,42
dwbg_0_42_13_000003,0,False,,0.04445658251643181,0.6668104529380798,0.5320853520528447,42
dwbg_0_42_14_000004,0,False,,0.00880731176584959,0.6673709154129028,0.37573093654863204,42
dwbg_0_42_15_000005,0,False,,0.0030933720991015434,0.549703061580658,0.3891879343724411,42
dwbg_0_42_16_000006,0,False,,0.008110737428069115,0.609571635723114,0.3986588099993512,42
dwbg_0_42_17_000007,0,False,,0.004387965891510248,0.6824463605880737,0.5171513697952118,42
dwbg_0_42_18_000008,0,False,,0.004577304236590862,0.6513369679450989,0.48481710908913256,42
dwbg_0_42_19_000009,0,False,,0.020259801298379898,0.6705130934715271,0.5139420515332248,42
dwbg_0_42_20_000010,0,False,,0.20545394718647003,0.6681799292564392,0.47198860884713395,42
dwbg_0_42_21_000011,0,False,,0.17717593908309937,0.7706363201141357,0.07127111789042435,42
dwbg_0_42_23_000012,0,False,,0.0015106508508324623,0.7156134247779846,0.049233560390326524,42
dwbg_0_42_25_000013,0,False,,0.12548266351222992,0.6687667965888977,0.5878674765454869,42
dwbg_0_42_26_000014,0,False,,0.13288438320159912,0.6389638185501099,0.18014290841990765,42
dwbg_0_42_27_000015,0,False,,0.012873632833361626,0.7352427244186401,0.49653357754774147,42
dwbg_0_42_28_000016,0,False,,0.01894768513739109,0.40016961097717285,0.26327988400575364,42
dwbg_0_42_29_000017,0,False,,0.002693217247724533,0.6258531212806702,0.391443553099366,42
dwbg_0_42_3_000018,0,False,,0.001307993778027594,0.6928540468215942,0.2814891048310167,42
dwbg_0_42_30_000019,0,False,,0.03772049397230148,0.6631527543067932,0.5692718887340503,42
dwbg_0_42_31_000020,0,False,,0.24400106072425842,0.7414738535881042,0.554374601916376,42
dwbg_0_42_32_000021,0,False,,0.010791742242872715,0.7658686637878418,0.6860259850809686,42
dwbg_0_42_33_000022,0,False,,0.039637498557567596,0.4701767563819885,0.4686898983294722,42
dwbg_0_42_34_000023,0,False,,0.022381672635674477,0.5836910009384155,0.6237641411614836,42
dwbg_0_42_35_000024,0,False,,0.003749994095414877,0.520335853099823,0.6533917122282525,42
dwbg_0_42_36_000025,0,False,,0.011370796710252762,0.7283896207809448,0.6984128209272694,42
dwbg_0_42_37_000026,0,False,,0.3044140040874481,0.4824737310409546,0.5250226709713848,42
dwbg_0_42_40_000027,0,False,,0.0024255486205220222,0.577808678150177,0.652489527562723,42
dwbg_0_42_41_000028,0,False,,0.037477001547813416,0.44343388080596924,0.47278664398201364,42
dwbg_0_42_42_000029,0,False,,0.026877248659729958,0.5862537026405334,0.3825888105267565,42
dwbg_0_42_43_000030,0,False,,0.0,0.0,0.2654703424926182,42
dwbg_0_42_44_000031,0,False,,0.0024294527247548103,0.7134485244750977,0.5515112636208843,42
dwbg_0_42_45_000032,0,False,,0.004411417990922928,0.6120682954788208,0.4570581894379586,42
dwbg_0_42_46_000033,0,False,,0.0011467443546280265,0.6380648016929626,0.5092914951584896,42
dwbg_0_42_47_000034,0,False,,0.019229577854275703,0.644586980342865,0.354250275505556,42
dwbg_0_42_48_000035,0,False,,0.3395979702472687,0.562879204750061,0.38003763777924415,42
dwbg_0_42_49_000036,0,False,,0.05603816360235214,0.7892271876335144,0.6118852282247963,42
dwbg_0_42_5_000037,0,False,,0.1101737692952156,0.0,2.0354749963342793e-05,42
dwbg_0_42_50_000038,0,False,,0.4393996298313141,0.7367556691169739,0.5936533817115378,42
dwbg_0_42_51_000039,0,False,,0.2974269688129425,0.5881780385971069,0.5514037181346768,42
dwbg_0_42_53_000040,0,False,,0.013875589706003666,0.7789325714111328,0.5046905928505088,42
dwbg_0_42_54_000041,0,False,,0.005580994300544262,0.7135452628135681,0.46439772649131295,42
dwbg_0_42_55_000042,0,False,,0.0,0.0,0.19396971088515574,42
dwbg_0_42_56_000043,0,False,,0.15249577164649963,0.5501109957695007,0.45744828700219586,42
dwbg_0_42_57_000044,0,False,,0.00162320036906749,0.5448176264762878,0.5236209221656075,42
dwbg_0_42_59_000045,0,False,,0.10593436658382416,0.7609588503837585,0.5813377988154602,42
dwbg_0_42_6_000046,0,False,,0.0,0.0,0.3135752263036226,42
dwbg_0_42_60_000047,0,False,,0.24621620774269104,0.4880479872226715,0.5905410689175274,42
dwbg_0_42_61_000048,0,False,,0.3727543354034424,0.626322865486145,0.5013085035725279,42
dwbg_0_42_62_000049,0,False,,0.21540343761444092,0.5604280233383179,0.6272209510765078,42
dwbg_0_42_63_000050,0,False,,0.0040391054935753345,0.6627641320228577,0.5344721611835728,42
dwbg_0_42_64_000051,0,False,,0.08654065430164337,0.7484909892082214,0.5510274691576225,42
dwbg_0_42_65_000052,0,False,,0.010240373201668262,0.7372666001319885,0.620422870677565,42
dwbg_0_42_66_000053,0,False,,0.5075445771217346,0.5060687065124512,0.5459537996654883,42
dwbg_0_42_67_000054,0,False,,0.10091625154018402,0.42741796374320984,0.3666712076077216,42
dwbg_0_42_68_000055,0,False,,0.03311718627810478,0.0,2.889028511726746e-06,42
dwbg_0_42_7_000056,0,False,,0.02216152660548687,0.6510112881660461,0.4788644189464987,42
dwbg_0_42_71_000057,0,False,,0.006572491489350796,0.0,3.891354978057527e-07,42
dwbg_0_42_73_000058,0,False,,0.0010145787382498384,0.5086343884468079,0.3377476573457346,42
dwbg_0_42_74_000059,0,False,,0.0027694229502230883,0.7250950932502747,0.47211634066383806,42
dwbg_0_42_75_000060,0,False,,0.40271425247192383,0.5728189945220947,0.600223433824764,42
dwbg_0_42_8_000061,0,False,,0.006544049829244614,0.6469027996063232,0.31541025884799606,42
dwbg_0_42_9_000062,0,False,,0.010326510295271873,0.5128830671310425,0.6025527204913336,42
dwbg_1_42_10_000063,1,False,,0.3419645130634308,0.4832727611064911,0.7357116167615779,42
dwbg_1_42_13_000064,1,False,,0.0029382440261542797,0.2875904440879822,0.5932776912331096,42
dwbg_1_42_14_000065,1,False,,0.2626895010471344,0.3990093171596527,0.6039580242357306,42
dwbg_1_42_15_000066,1,False,,0.5484411120414734,0.6229357123374939,0.6784871952941065,42
dwbg_1_42_16_000067,1,False,,0.6825155019760132,0.5826935172080994,0.8075830198762096,42
dwbg_1_42_2_000068,1,False,,0.07852461189031601,0.7428357601165771,0.7116742574715412,42
dwbg_1_42_20_000069,1,False,,0.0024187404196709394,0.6255696415901184,0.7338401153510953,42
dwbg_1_42_23_000070,1,False,,0.5555571913719177,0.5459387302398682,0.6652030801091082,42
dwbg_1_42_24_000071,1,False,,0.006066410802304745,0.43451806902885437,0.7505375349121739,42
dwbg_1_42_26_000072,1,False,,0.021794678643345833,0.29326725006103516,0.38585117783150147,42
dwbg_1_42_27_000073,1,False,,0.5667186379432678,0.4219333231449127,0.5296455865215661,42
dwbg_1_42_29_000074,1,False,,0.0036151697859168053,0.6637383699417114,0.7249123947424806,42
dwbg_1_42_3_000075,1,False,,0.5508360266685486,0.8160115480422974,0.7862429095160675,42
dwbg_1_42_30_000076,1,False,,0.5943395495414734,0.38672688603401184,0.4053470279149821,42
dwbg_1_42_33_000077,1,False,,0.09265149384737015,0.16982391476631165,0.5348243972194786,42
dwbg_1_42_34_000078,1,False,,0.6671709418296814,0.5564553737640381,0.7843446753422527,42
dwbg_1_42_35_000079,1,False,,0.4877943992614746,0.7831359505653381,0.6916323247550513,42
dwbg_1_42_4_000080,1,False,,0.7050510048866272,0.6341233849525452,0.7250938608381757,42
dwbg_1_42_6_000081,1,False,,0.3611758351325989,0.46095001697540283,0.6347507830760434,42
