candidate_id,class_id,scale_bin,contrast_bin,morphology_bin,median_confidence,median_iou,std_confidence,std_iou,weakness_score,boundary_score,manifold_score,consensus_score,anchor_score,final_score,manifold_valid,selected,selection_group
dwbg_0_42_0_000000,0,medium,low,compact,0.0,0.0,0.03238620236515999,0.23259992897510529,0.1944304435483871,0.0,0.5815293759460607,0.26582139138197763,0.03534752720381079,4.445460107634973e-14,True,False,
dwbg_0_42_10_000001,0,tiny,medium,elongated,0.0,0.0,0.0008162481244653463,0.23493626713752747,0.2338709677419355,0.0,0.7217767702799645,0.3076592079440613,0.049518753975484046,7.954550117093156e-14,True,False,
dwbg_0_42_12_000002,0,tiny,medium,elongated,0.0,0.0,0.0,0.0,0.2338709677419355,0.0,0.5486523689979607,1.0,0.1223472321172478,9.504345184119995e-14,True,False,
dwbg_0_42_13_000003,0,tiny,high,elongated,0.01474093459546566,0.0,0.04775003343820572,0.2636702358722687,0.22580645161290325,0.0,0.6167737867934233,0.2107460665034073,0.03069442565885172,5.021170243430226e-14,True,False,
dwbg_0_42_14_000004,0,tiny,low,elongated,0.0,0.0,0.0,0.0,0.2282006048387097,0.0,0.6389499643401765,1.0,0.14300953582770498,1.1655128512385122e-13,True,False,
dwbg_0_42_15_000005,0,medium,low,medium,0.022447677329182625,0.0,0.019890667870640755,0.17245948314666748,0.2040070564516129,0.0,0.6827290934896003,0.38222312077588255,0.06420763506427557,7.115022564692184e-14,True,False,
dwbg_0_42_16_000006,0,medium,medium,elongated,0.0,0.0,0.06451810896396637,0.20666947960853577,0.20564516129032256,0.0,0.665653323589983,0.2577054680554905,0.038951567638550066,5.669600645916044e-14,True,False,
dwbg_0_42_17_000007,0,tiny,low,compact,0.007516811136156321,0.0,0.004439040087163448,0.0,0.22265625,0.0,0.7135012409149275,0.9780493007668281,0.1609659721245567,1.3271113485596243e-13,True,False,
dwbg_0_42_18_000008,0,medium,medium,medium,0.0,0.0,0.0012346147559583187,0.3533180356025696,0.20967741935483872,0.0,0.6588523398038961,0.16986296558404831,0.025347487627977422,4.621502078787223e-14,True,False,
dwbg_0_42_19_000009,0,large,high,compact,0.0027621500194072723,0.6519719362258911,0.01601099595427513,0.0729631707072258,0.18397177419354838,0.0,0.7110431113977176,0.6409070545305219,0.10590706320040257,8.830648995704172e-14,True,False,
