epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1009.76,1.92123,0.8832,0.74676,0.78263,0.825,0.75555,0.30739,2.25745,1.13238,0.87728,0.00121591,0.00121591,0.00121591
43,1030.06,1.91267,0.88431,0.75493,0.79492,0.79773,0.68994,0.2838,2.25329,1.30853,0.85996,0.00120491,0.00120491,0.00120491
44,1051.93,1.92554,0.91665,0.73042,0.84886,0.86054,0.79932,0.31427,2.21864,1.22454,0.86193,0.00119391,0.00119391,0.00119391
45,1074.64,1.85575,0.87724,0.76127,0.74012,0.81136,0.7009,0.30435,2.21158,1.23038,0.87237,0.0011829,0.0011829,0.0011829
46,1095.16,1.88743,0.85432,0.75131,0.7834,0.78578,0.73431,0.31906,2.22681,1.3142,0.86485,0.0011719,0.0011719,0.0011719
47,1116.09,1.94778,0.91315,0.76047,0.7853,0.81136,0.73835,0.3209,2.17433,1.28879,0.86101,0.0011609,0.0011609,0.0011609
48,1136.13,1.82464,0.84096,0.76482,0.85993,0.80348,0.81137,0.31735,2.1236,1.22616,0.86101,0.0011499,0.0011499,0.0011499
49,1156.53,1.79707,0.86217,0.74674,0.73158,0.78091,0.71799,0.30232,2.23188,1.37163,0.86748,0.00113889,0.00113889,0.00113889
50,1176.63,1.75609,0.75076,0.74733,0.73922,0.80586,0.71573,0.32306,2.15905,1.24363,0.86466,0.00112789,0.00112789,0.00112789
51,1196.72,1.92124,0.84395,0.77088,0.81987,0.84773,0.80747,0.31185,2.31934,1.24166,0.86942,0.00111689,0.00111689,0.00111689
52,1216.81,1.88234,0.86486,0.7399,0.80657,0.84773,0.78616,0.34111,2.3282,1.23726,0.87242,0.00110589,0.00110589,0.00110589
53,1237.14,1.89334,0.80941,0.75552,0.8174,0.81641,0.79373,0.30674,2.24653,1.30868,0.86567,0.00109489,0.00109489,0.00109489
54,1258.2,1.89046,0.91294,0.78697,0.80882,0.825,0.77264,0.3325,2.16322,1.2583,0.86316,0.00108388,0.00108388,0.00108388
55,1283.7,1.76303,0.79775,0.75459,0.77668,0.78864,0.7494,0.32673,2.2457,1.25938,0.85786,0.00107288,0.00107288,0.00107288
56,1309.88,1.67736,0.72853,0.71077,0.82365,0.86014,0.79086,0.35141,2.11216,1.1431,0.85285,0.00106188,0.00106188,0.00106188
