method,precision_mean,recall_mean,map50_mean,map5095_mean,precision_std,recall_std,map50_std,map5095_std
real_only,0.8741909755842787,0.8443855678022754,0.8378702089491048,0.40651017133379735,0.026825142009965615,0.03933112916374164,0.054637499367175414,0.026035668806809475
random,0.8922685719453178,0.8290667945498286,0.8529272082071291,0.4244269216039804,0.009648909216655462,0.0364965044545747,0.01375883859648689,0.011408163456836672
dwbg,0.887702073097565,0.8831942482663319,0.8901380333000688,0.4097276414357374,0.02486753328755851,0.03894184266153428,0.03348308494797883,0.007766820497743715
diversity_quality,0.8724351285416939,0.8818181818181818,0.8827972365449365,0.41855565676481005,0.07532630902041859,0.04109804845460254,0.026394133522363465,0.013142688435240144
bootstrap_guard,0.9041157134017177,0.8740062040843153,0.8745779253027689,0.4405992008155586,0.009774728992945658,0.03924876327098092,0.01595277324773183,0.0012335500079676636
