candidate_id,class_id,manifold_valid,fgau_eligible,fgau_utility,median_iou,median_confidence,source_image,seed
dwbg_0_42_35_000024,0,True,True,0.8286933438449624,0.520335853099823,0.003749994095414877,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/35.jpg,42
dwbg_0_42_36_000025,0,True,True,0.8222258794115865,0.7283896207809448,0.011370796710252762,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/36.jpg,42
dwbg_0_42_37_000026,0,True,True,0.7912674666623236,0.4824737310409546,0.3044140040874481,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/37.jpg,42
dwbg_0_42_40_000027,0,True,True,0.8083765835350359,0.577808678150177,0.0024255486205220222,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/40.jpg,42
dwbg_0_42_41_000028,0,True,True,0.7936764396460388,0.44343388080596924,0.037477001547813416,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/41.jpg,42
dwbg_0_42_42_000029,0,True,True,0.655683721853028,0.5862537026405334,0.026877248659729958,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/42.jpg,42
dwbg_0_42_43_000030,0,False,False,,0.0,0.0,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/43.jpg,42
dwbg_0_42_44_000031,0,True,True,0.6689758952578616,0.7134485244750977,0.0024294527247548103,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/44.jpg,42
dwbg_0_42_45_000032,0,True,True,0.7634139081456751,0.6120682954788208,0.004411417990922928,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/45.jpg,42
dwbg_0_42_46_000033,0,True,True,0.7884204379803835,0.6380648016929626,0.0011467443546280265,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/46.jpg,42
dwbg_0_42_47_000034,0,False,False,,0.644586980342865,0.019229577854275703,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/47.jpg,42
dwbg_0_42_48_000035,0,True,True,0.8322112896285101,0.562879204750061,0.3395979702472687,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/48.jpg,42
dwbg_0_42_49_000036,0,True,True,0.7203746053887734,0.7892271876335144,0.05603816360235214,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/49.jpg,42
dwbg_0_42_5_000037,0,False,False,,0.0,0.1101737692952156,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/5.jpg,42
dwbg_0_42_50_000038,0,True,True,0.7918033669062929,0.7367556691169739,0.4393996298313141,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/50.jpg,42
dwbg_0_42_51_000039,0,True,True,0.7716677276918749,0.5881780385971069,0.2974269688129425,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/51.jpg,42
dwbg_0_42_53_000040,0,True,True,0.7463221912597655,0.7789325714111328,0.013875589706003666,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/53.jpg,42
dwbg_0_42_54_000041,0,True,True,0.7710465115482894,0.7135452628135681,0.005580994300544262,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/54.jpg,42
dwbg_0_42_55_000042,0,False,False,,0.0,0.0,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/55.jpg,42
dwbg_0_42_56_000043,0,True,True,0.8417437746774517,0.5501109957695007,0.15249577164649963,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/56.jpg,42
dwbg_0_42_57_000044,0,True,True,0.7737185677280436,0.5448176264762878,0.00162320036906749,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/57.jpg,42
dwbg_0_42_59_000045,0,True,True,0.7037970048297408,0.7609588503837585,0.10593436658382416,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/59.jpg,42
dwbg_0_42_6_000046,0,False,False,,0.0,0.0,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/6.jpg,42
dwbg_0_42_60_000047,0,True,True,0.7930280648102637,0.4880479872226715,0.24621620774269104,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/60.jpg,42
dwbg_0_42_61_000048,0,True,True,0.8352806232190702,0.626322865486145,0.3727543354034424,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/61.jpg,42
dwbg_0_42_62_000049,0,True,True,0.7671517229652967,0.5604280233383179,0.21540343761444092,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/62.jpg,42
dwbg_0_42_63_000050,0,True,True,0.7836080277975529,0.6627641320228577,0.0040391054935753345,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/63.jpg,42
dwbg_0_42_64_000051,0,True,True,0.776077857253766,0.7484909892082214,0.08654065430164337,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/64.jpg,42
dwbg_0_42_65_000052,0,True,True,0.6577292263186283,0.7372666001319885,0.010240373201668262,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/65.jpg,42
dwbg_0_42_66_000053,0,True,True,0.6934988063059133,0.5060687065124512,0.5075445771217346,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/66.jpg,42
dwbg_0_42_67_000054,0,False,False,,0.42741796374320984,0.10091625154018402,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/67.jpg,42
dwbg_0_42_68_000055,0,False,False,,0.0,0.03311718627810478,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/68.jpg,42
dwbg_0_42_7_000056,0,True,True,0.8152743162817153,0.6510112881660461,0.02216152660548687,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/7.jpg,42
dwbg_0_42_71_000057,0,False,False,,0.0,0.006572491489350796,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/71.jpg,42
dwbg_0_42_73_000058,0,False,False,,0.5086343884468079,0.0010145787382498384,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/73.jpg,42
dwbg_0_42_74_000059,0,True,True,0.75335101951924,0.7250950932502747,0.0027694229502230883,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/74.jpg,42
dwbg_0_42_75_000060,0,True,True,0.6829072225098747,0.5728189945220947,0.40271425247192383,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/75.jpg,42
dwbg_0_42_8_000061,0,False,False,,0.6469027996063232,0.006544049829244614,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/8.jpg,42
dwbg_0_42_9_000062,0,True,True,0.8492763886278156,0.5128830671310425,0.010326510295271873,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/01_Flash_point/image/9.jpg,42
dwbg_1_42_10_000063,1,True,True,0.7047893281027824,0.4832727611064911,0.3419645130634308,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/02_Big_black_spots/image/10.jpg,42
dwbg_1_42_13_000064,1,True,True,0.670973998393412,0.2875904440879822,0.0029382440261542797,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/02_Big_black_spots/image/13.jpg,42
dwbg_1_42_14_000065,1,True,True,0.5294581007666237,0.3990093171596527,0.2626895010471344,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/02_Big_black_spots/image/14.jpg,42
dwbg_1_42_15_000066,1,True,True,0.7213328648093861,0.6229357123374939,0.5484411120414734,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/02_Big_black_spots/image/15.jpg,42
dwbg_1_42_16_000067,1,True,True,0.6997759156294925,0.5826935172080994,0.6825155019760132,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/02_Big_black_spots/image/16.jpg,42
dwbg_1_42_2_000068,1,True,True,0.7431135773135812,0.7428357601165771,0.07852461189031601,/mnt/sda/cbj/ImageGeneration/Self-main/results/dwbg_pool_seed42/sd2_2000_s42_msdf_v3/Plastic_Bomo/02_Big_black_spots/image/2.jpg,42
