method,seed,precision,recall,map50,map50_95
real_only,42,0.9103378362335599,0.8648318145172889,0.9276145537719697,0.6715465632905974
random,42,0.8892168168632096,0.8399077906642581,0.8997515325848185,0.5992800112610482
diversity_quality,42,0.8958961074938037,0.8273798640013174,0.8980218378860796,0.5755920484933674
bootstrap_guard,42,0.9280348185997148,0.8624420504057065,0.9266352620868806,0.6398013145390513
