arm,seed,best_epoch,stop_epoch,precision,recall,map50,map5095
marginal_guard,42,59,99,0.8663820943721159,0.8082401111754358,0.8604006620124485,0.4070769831392161
marginal_guard,3407,73,113,0.907853144674304,0.8477272727272727,0.8651400804935897,0.4099257615103579
marginal_guard,2026,55,95,0.9272543495388338,0.9090909090909092,0.9042785240660522,0.42696959192659756
